id,title,requirement,responsibility,tokens
120331701,Python-разработчик,"Опыт работы с <highlighttext>Python</highlighttext> от 1-го года . Опыт работы с одним или несколькими фреймворками: FastApi, Flask, Django, Django REST. ",,опыт работа python год опыт работа фреймворками fastapi flask django django rest
120288418,Junior backend разработчик,"Опыт на любом языке программирования, как: C, C++, C#, Java, Go и т.д. (приветствуется опыт на функциональных языках программирования). - ",,опыт язык программирование java go т д опыт язык программирование
120205359,Backend-разработчик,"От 2 лет коммерческого опыта в backend-разработке на <highlighttext>Python</highlighttext>. Уверенные знания FastAPI, SQLAlchemy, Pydantic. Опыт работы с PostgreSQL, Redis...","Разрабатывать и поддерживать backend нашего сервиса на FastAPI. Проектировать и оптимизировать архитектуру, повышая её масштабируемость и производительность. Работать с базами...",год опыт backend - разработка python знание fastapi sqlalchemy pydantic опыт работа postgresql redis
120300880,Тестировщик ПО (QA Engineer),Опыт в ручном и автоматическом тестировании от 2 лет. Навыки автоматизации (<highlighttext>Python</highlighttext>/JavaScript + Selenium/Playwright/Cypress/Pytest). ,"Проводить ручное тестирование веб-интерфейса (составлять тест-кейсы, чек-листы, тестировать новые фичи, проводить регресс-тестирование). Автоматизировать тестирование (писать и...",опыт тестирование год навык автоматизация python javascript selenium playwright cypress pytest
120341695,Продуктовый аналитик в Krisha.kz (Middle),Уверенное владение SQL и опыт работы с <highlighttext>Python</highlighttext>. Опыт применения аналитики для решения бизнес-задач. Умение связывать бизнес и аналитический...,"Анализировать показатели приложений и сайтов для принятия продуктовых решений. Помогать бизнесу с формированием, приоритизацией и реализацией стратегии. Контролировать и оценивать...",владение sql опыт работа python опыт применение аналитика решение бизнес - задач умение бизнес
120327991,QA engineer / Тестировщик,"Опыт ручного тестирования от 1 года. Опыт написания автотестов будет плюсом. Технические знания Git, SQL, Linux, <highlighttext>Python</highlighttext> (или другого языка...","Тестировать web-приложение, API и интеграции на соответствие функциональным и нефункциональным требованиям. Помогать команде разработки анализировать и прорабатывать требования к...",опыт тестирование год опыт написание автотестов плюс знание git sql linux python язык
119894772,Аналитик в команду транспортной логистики,"Владение SQL на хорошем уровне (джойны, cte, оконные функции). Опыт использования <highlighttext>Python</highlighttext> для анализа данных будет плюсом (библиотеки для анализа...",Созданием регулярных и разовых отчетов для департамента доставки. Проводить аналитику и исследования инициатив и процессов департамента. Написанием SQL запросов для...,владение sql уровень джойны cte функция опыт использование python анализ данных плюс библиотека анализ
120278818,Тестировщик,Опыт настройки автоматического запуска тестов в CI/CD-пайплайнах. Навыки чтения кода на языке <highlighttext>Python</highlighttext>. Опыт работы в командной строке...,"Участвовать в выстраивании процессов тестирования, интеграции тестирования в жизненный цикл Продукта. Анализировать продуктовые требования на полноту, непротиворечивость и тестируемость, участие...",опыт настройка запуск тест ci cd - пайплайнах навык чтение код язык python опыт работа строка
120318650,Manual QA Engineer (Middle),"...etc.) и способность их анализировать. Желание развиваться в автоматизированном тестировании (<highlighttext>Python</highlighttext>). Готовность работать в динамичной среде, где используются современные технологии.","Писать и поддерживать тестовую документацию в Allure TestOps, включая отчеты по автотестам и результаты ручного тестирования. Проводить функциональное и интеграционное...",etc способность желание тестирование python готовность среда технология
118711736,Web-программист - стажер,Carfast- Первый онлайн авто аукцион в Казахстане. Доброжелательный и целеустремленный командный игрок. Принимаете верные решения в критических ситуациях. ,"Лучшая система аналитики товаров на Kaspi. Fastbot - Телеграм бот для поиска авто. Ну и есть конечно же такие проекты, как...",carfast- онлайн авто аукцион казахстан игрок решение ситуация
